名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数,简介
黑天鹅 Black Swan,2010,达伦·阿伦诺夫斯基,"娜塔莉·波特曼,米拉·库尼斯,文森特·卡索,芭芭拉·赫希,薇诺娜·瑞德,本杰明·米派德,克塞尼亚·索罗,克里斯汀娜·安娜波,詹妮特·蒙哥马利,塞巴斯蒂安·斯坦,托比·海明威,塞尔吉奥·托拉多,马克·马戈利斯,蒂娜·斯隆,亚伯拉罕·阿罗诺夫斯基,夏洛特·阿罗诺夫斯基,玛西娅·让·库尔茨,肖恩·奥哈根,克里斯托弗·加廷,黛博拉·奥夫纳,斯坦利·B·赫尔曼,库尔特·弗勒曼,帕特里克·赫辛格,莎拉·海伊","剧情,惊悚",美国,"英语,法语,意大利语",8.6,613167,41.8%,45.4%,11.8%,0.8%,0.2%,128529,纽约剧团要重排《天鹅湖》，因前领舞Beth（薇诺娜•赖德 Winona Ryder 饰）离去，总监Thomas（文森特•卡索尔 Vincent Cassel. 饰）决定海选新领舞，且要求领舞要分饰黑天鹅与白天鹅。Nina（娜塔莉•波特曼Natalie Portman 饰）自幼练习芭蕾舞，在母亲的细心关照下，技艺出众。这次，她希望可以脱颖而出。然而，在竞争中，她发现心机颇重的Lily（米拉•库妮丝 Mila Kunis 饰）是自己的强劲对手。在选拔中，她的白天鹅表演的无可挑剔，但是黑天鹅不及Lily。她感到身心俱疲，回家还发现了背部的红斑与脚伤。她一个人找到总监，希望争取一下。总监趁机亲吻她，却被她强硬拒绝。结果，总监居然选了她。队友怀疑她靠色相上位。在酒会上，Beth甚至当众发泄。这种压力外加伤病，一直影响着她的发挥。总监启发她要释放激情，表现出黑天...
"怪兽电力公司 Monsters, Inc.",2001,彼特·道格特,"约翰·古德曼,比利·克里斯托,玛丽·吉布斯,史蒂夫·布西密,詹姆斯·柯本,詹妮弗·提莉,鲍勃·彼德森,约翰·拉岑贝格,弗兰克·奥兹,丹尼尔·吉尔森,邦尼·亨特,杰克·安杰尔,塞缪尔·洛德·布莱克,史蒂夫·萨斯坎德","喜剧,动画,儿童,奇幻,冒险",美国,英语,8.7,433355,45.7%,43.3%,10.4%,0.4%,0.1%,46192,我们不知道，在那样的世界里住着那样一群怪物。他们长相滑稽，却必须装作狰狞。因为，在夜深的时候，他们要悄悄的出现在孩子的衣橱里，吓唬刚刚甜美睡去的宝宝。一切，只因为他们是怪物电力公司的员工，而孩子的尖叫，则是怪物王国发电的全部能量。怪物们害怕孩子，却又必须让孩子尖叫。在怪物的国度里，他们都是为全民造福的英雄。
穿普拉达的女王 The Devil Wears Prada,2006,大卫·弗兰科尔,"安妮·海瑟薇,梅丽尔·斯特里普,艾米莉·布朗特,斯坦利·图齐,西蒙·贝克,艾德里安·格尼尔,吉赛尔·邦辰","剧情,爱情","美国,法国","英语,法语",8.1,516679,26.9%,51.6%,20.3%,1.1%,0.2%,81673,初涉社会的安德丽娅•桑切丝（安妮•海瑟薇饰）来到了著名时尚杂志《RUNWAY》面试，以聪明得到了主编米兰达•普雷斯丽（梅利尔•斯特里普）的特许，让她担任自己的第二助理。开始的时候安德丽娅感到十分委屈，就算自己多努力工作也无法得到赞赏，经一位老前辈的指点便重新改造自己。工作越来越顺，甚至取代了第一助理在米兰达心中的地位，决定带着这个聪明的女孩前往法国。可安德丽的改变让她失去了男友及朋友的爱，令她非常矛盾。
网络谜踪 Searching,2018,阿尼什·查甘蒂,"约翰·赵,米切尔·拉,黛博拉·梅辛,约瑟夫·李,萨拉·米博·孙,亚历克丝·杰恩·高,刘玥辰,刘卡雅,多米尼克·霍夫曼,西尔维亚·米纳西安,梅丽莎·迪斯尼,康纳·麦克雷斯,科林·伍德尔,约瑟夫·约翰·谢尔勒,阿什丽·艾德纳,考特尼·劳伦·卡明斯,托马斯·巴布萨卡,朱莉·内桑森,罗伊·阿布拉姆森,盖奇·比尔托福,肖恩·奥布赖恩,瑞克·萨拉比亚,布拉德·阿布瑞尔,加布里埃尔·D·安吉尔","剧情,悬疑,惊悚,犯罪","美国,俄罗斯",英语,8.6,360175,40.1%,48.9%,10.4%,0.5%,0.1%,97466,工程师大卫·金（约翰·赵 饰）一直引以为傲的16岁乖女玛戈特突然失踪。前来调查此案的警探怀疑女儿离家出走。不满这一结论的父亲为了寻找真相，独自展开调查。他打开了女儿的笔记本电脑，用社交软件开始寻找破案线索。大卫必须在女儿消失之前，沿着她在虚拟世界的足迹找到她…
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012,克里斯托弗·诺兰,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,约瑟夫·高登-莱维特,玛丽昂·歌迪亚,加里·奥德曼,迈克尔·凯恩,摩根·弗里曼,朱诺·坦普尔,乔什·平茨,丹尼尔·逊亚塔,内斯特·卡博内尔,伯恩·戈曼,连姆·尼森,乔伊·金,艾丹·吉伦,基里安·墨菲,乔什·斯图沃特,马修·莫迪恩,本·门德尔森","剧情,动作,科幻,惊悚,犯罪","美国,英国","英语,阿拉伯语",8.7,487922,50.3%,38.3%,10.4%,0.9%,0.2%,98120,检察官哈维·登特（艾伦·艾克哈特 Aaron Eckhart 饰）死后的八年间，哥谭市在戈登警长（加里·奥德曼 Gary Oldman 饰）的努力下有效地遏制了犯罪活动。而蝙蝠侠布鲁斯·韦恩（克里斯蒂安·贝尔 Christian Bale 饰）因为背负谋杀登特的罪名，被 警方通缉，在哥谭市销声匿迹。然而，这看似平静的状态被恐怖分子贝恩（汤姆·哈迪 Tom Hardy 饰）的出现打破，他利用猫女（安妮·海瑟薇 Anne Hathaway 饰）偷取布鲁斯的指纹，致使韦恩集团面临破财，布鲁斯被赶出董事会。为了保证韦恩集团投资的能源项目不被坏人利用制造核弹，布鲁斯帮助米兰达（玛丽昂·歌迪亚 Marion Cotillard 饰）成为董事会主席。贝恩接下来一连串精密设计的计划将哥谭市陷入孤绝之境，毁灭之日指日可待。布鲁斯只能再次肩负起拯救哥谭的重任，然而至亲的...
重庆森林 重慶森林,1994,王家卫,"林青霞,金城武,梁朝伟,王菲,周嘉玲","剧情,爱情",中国香港,"粤语,汉语普通话,英语,印地语,日语",8.7,543465,49.4%,39.1%,10.4%,0.8%,0.3%,108277,编号为223的警察（金城武）失恋后患上失恋综合症，在与金发女杀手（林青霞）擦肩而过又离奇相遇并有了一晚温情后，原本以为包括"爱情"在内的所有东西都有保质期的他意外地迎来心灵的短暂温暖。可是，他们的爱情还是结束了。
乔乔的异想世界 Jojo Rabbit,2019,塔伊加·维迪提,"罗曼·格里芬·戴维斯,托马辛·麦肯齐,斯嘉丽·约翰逊,塔伊加·维迪提,山姆·洛克威尔,蕾蓓尔·威尔森,阿尔菲·艾伦,斯戴芬·莫昌特,阿奇·耶茨,卢克·布兰登·菲尔德,山姆·海加斯,史丹斯拉夫·卡拉斯,乔·温特劳布,布莱恩·卡斯佩,加布里埃尔·安德鲁斯,罗伯特·伊斯特,比利·雷纳,克里斯蒂安·豪林斯,吉尔比·格里芬·戴维斯,哈迪·格里芬·戴维斯,柯蒂斯·马修,贝萨尼·亚当斯,朱迪思·乔治,维多利亚·霍根","剧情,喜剧,战争","美国,捷克,新西兰","英语,德语",8.4,123799,37.3%,47.4%,13.9%,1.2%,0.2%,38253,二战时期，男孩乔乔(戴维斯)和母亲(斯嘉丽)生活在纳粹德国统治下，他不知道母亲在家中藏着一个犹太女孩(麦肯齐)，而母亲秘密为抵抗军工作。乔乔渴望加入希特勒青年团，他脑内出了一个颠覆版的希特勒，这个希特勒有魅力、傻傻的、天真可爱，是他的朋友，帮助他应付生活中的困境。
低俗小说 Pulp Fiction,1994,昆汀·塔伦蒂诺,"约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫,蒂姆·罗斯,塞缪尔·杰克逊,菲尔·拉马,布鲁斯·威利斯,弗兰克·威利,布尔·斯蒂尔斯,文·瑞姆斯,劳拉·拉芙蕾丝,保罗·考尔德伦,布罗娜·加拉赫,罗姗娜·阿奎特,埃里克·斯托尔兹,玛丽亚·德·梅黛洛","剧情,喜剧,犯罪",美国,"英语,西班牙语,法语",8.8,574473,54.1%,35.4%,9.3%,0.9%,0.3%,104532,《低俗小说》由"文森特和马沙的妻子"、"金表"、"邦妮的处境"三个故事以及影片首尾的序幕和尾声五个部分组成。看似独立的小故事里面，却又有环环相扣的人和事。
烈日灼心,2015,曹保平,"邓超,段奕宏,郭涛,王珞丹,吕颂贤,高虎,白柳汐,杜志国","剧情,悬疑,犯罪",中国大陆,汉语普通话,8.1,423339,27.8%,52.5%,17.8%,1.6%,0.4%,102098,七年前，福建西陇发生一起惨绝人寰的灭门惨案，某别墅内一家五口同日惨死，在社会上引起极大的震动，然而此去经年，嫌疑人杨自道（郭涛 饰）、辛小丰（邓超 饰）、陈比觉（高虎 饰）却依然逍遥法外。现如今，这三个人都在厦门过活，杨当起了出租车司机，小丰加入了协警队伍，因意外变成傻子的陈则带着三人捡来的女孩尾巴栖息在亲戚的渔场中。这一天，拥有丰富办案经验的伊谷春（段奕宏 饰）调到小丰所在的队伍担任警长。伊颇为器重能力卓越的小丰，但嗅觉灵敏的他也隐隐觉出这个男子和当年的灭门惨案有所关联。在此期间，道哥在一次意外中结识了伊的妹妹小夏（王珞丹 饰）。仿佛冥冥之中有一只看不见的手，正将这三个决心重新做人的男人推向无法更改的结局……
7号房的礼物 7번방의 선물,2013,李焕庆,"柳承龙,朴信惠,郑镇荣,金正泰,吴达洙,朴元尚,郑满植,葛素媛","剧情,喜剧,家庭",韩国,韩语,8.9,342424,54.9%,35.2%,8.8%,0.8%,0.3%,69930,1997年，只有6岁儿童智商的智障男子李龙久（柳成龙 饰）和可爱的女儿艺胜（葛素媛 饰）相依为命，生活虽然简单清贫，却充满幸福。某天，执着为女儿买美少女战士书包的龙久意外卷入一起幼童诱拐奸杀案，而死者竟是警察局长的女儿。龙久懵懂无知，搞不清状况，昏头昏脑就被投入监狱。在7号牢房中，聚集着走私犯蘇杨浩（吴达洙 饰）、诈骗犯崔春浩（朴元尚 饰）、通奸犯姜万范（金正泰 饰）、恐吓犯老徐（金基灿 饰）和抢劫犯申奉植（郑万植 饰）等五毒俱全的"社会渣滓"。龙久孩子般纯洁的心渐渐感动了这几个"大坏蛋"，他们甚至不惜冒险将艺胜带入牢房与父亲相会。
乱世佳人 Gone with the Wind,1939,维克多·弗莱明,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰,托马斯·米切尔,芭芭拉·欧内尔,伊夫林·凯耶斯,安·卢瑟福德,乔治·里弗斯,弗莱德·克莱恩,海蒂·麦克丹尼尔斯,奥斯卡·波尔克,巴特弗莱·麦昆,维克托·乔里,埃弗雷特·布朗,霍华德·C·希克曼,艾丽西亚·瑞特,莱斯利·霍华德,兰德·布鲁克斯,卡洛尔·奈,劳拉·霍普·克鲁斯,埃迪·安德森,哈里·达文波特,利昂娜·罗伯特,简·达威尔,欧娜·满森,保罗·赫斯特,伊莎贝尔·朱尔,卡米·金·肯伦,艾瑞克·林登,J·M·克里根,沃德·邦德,莉莲·肯布尔-库珀","剧情,爱情,历史,战争",美国,英语,9.3,461508,69.1%,25.8%,4.6%,0.3%,0.1%,88327,美国南北战争前夕，南方农场塔拉庄园的千金斯嘉丽（费雯·丽 Vivien Leigh 饰）爱上了另一个农场主的儿子艾希礼（莱斯利·霍华德 Leslie Howard 饰），遭到了拒绝，为了报复，她嫁给了自己不爱的男人，艾希礼妻子梅兰（奥利维娅·德哈维兰 Olivia de Havilland 饰）的弟弟查尔斯。
被嫌弃的松子的一生 嫌われ松子の一生,2006,中岛哲也,"中谷美纪,永山瑛太,香川照之,市川实日子,伊势谷友介,柄本明,黑泽明日香,荒川良良,柴崎幸,土屋安娜,奥之矢佳奈,谷原章介,武田真治,片平渚,宫藤官九郎,角野卓造,田中要次,木村凯拉,谷中敦,剧团一人","剧情,歌舞",日本,日语,8.9,513818,55.4%,34.0%,9.1%,1.1%,0.4%,134403,有一天父亲（香川照之饰）突然来找阿笙（瑛太饰），告诉他有个素未谋面的姑姑死了，叫他去收拾下姑姑的房子。在河边的破烂小屋里，阿笙渐渐开始了解父亲口中的姑姑，到底有着怎样的一生。
辩护人 변호인,2013,杨宇硕,"宋康昊,金英爱,吴达洙,郭度沅,任时完,宋永彰,郑元中,赵敏基,李杭娜,李星民,车光洙,韩基重,沈熙燮,赵莞基,李静恩",剧情,韩国,韩语,9.2,412893,66.0%,29.1%,4.5%,0.2%,0.1%,88104,1978年，只有高中学历的宋佑硕（宋康昊 饰）通过多年的艰苦努力，终于通过司法考试，并在成为法官后很快转行成为一名律师。他敏锐地从最新政策中嗅到商机，以不动产代书业务起家。虽然被同行讥讽为随时随地派发名片的夜店小弟，但佑硕不以为忤，一步一步朝着心中的目标迈进。他依靠赚来的钱让妻儿过上富足的生活，也还了七年前在饭店大婶那里欠下的良心债。进入20世纪80年代，韩国民主化斗争愈演愈烈。佑硕全然不管窗外事，关起门来继续赚钱。然而社会的巨变已经不容他置身事外，饭店大婶的儿子朴镇宇因从属的釜山读书联合会被控为左翼社团而遭到逮捕，更受到残酷的虐待和不公的指控。
杀人回忆 살인의 추억,2003,奉俊昊,"宋康昊,金相庆,金雷夏,宋在浩,边熙峰,高瑞熙,柳泰浩,朴努植,朴海日,全美善,徐永嬅,崔钟律,刘承睦,申贤宗,李在应,郑仁仙,吴龙,朴真宇,朴泰京,沈成宝","剧情,动作,悬疑,惊悚,犯罪",韩国,"韩语,英语",8.8,434400,51.6%,39.0%,8.5%,0.7%,0.2%,85982,1986年，韩国京畿道华城郡，热得发昏的夏天，在田野边发现一具女尸，早已发臭。小镇警察朴探员（宋康昊饰）和汉城来的苏探员（金相庆饰）接手案件，唯一可证实的是这具女尸生前被强奸过。线索的严重缺乏让毫无经验的朴探员和搭档曹探员（金罗河饰）只凭粗暴逼供和第六感推断，几次将犯罪 嫌疑人屈打成招。而苏探员客观冷静，据理分析，几次排除嫌疑，警察内部为了证明与推翻矛盾不断，然而无辜女子还是接二连三被残忍杀害，他们只好达成共识一起合作。此时，一个极其符合作案特征的小青年（朴海日饰）成为最大嫌疑人，警方神经绷紧地锁定住他，同时DNA检测报告也被送往美国，然而案件并未在此处停止。
恐怖游轮 Triangle,2009,克里斯托弗·史密斯,"梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼,瑞秋·卡帕尼,艾玛·朗,亨利·尼克松,约书亚·麦基弗","剧情,悬疑,惊悚","英国,澳大利亚",英语,8.5,537417,40.5%,43.8%,14.0%,1.3%,0.4%,109786,单亲母亲杰西（梅利莎·乔治 饰）和一帮朋友乘游艇出海游玩，但她总有一种有不好的事情发生的感觉。不久，他们便在海上遭遇一场强烈的风暴。游艇翻船，众人落海，几经挣扎他们好不容易爬到游艇残骸上来。正当他们无计可施之时，一艘巨大的游轮向众人缓缓驶来。众人欣喜过望，未加思索便登上这艘名为"艾俄洛斯"的游轮，结果发现这竟是一艘1930年便告失踪的神秘之船，而船上更是空无一人。
东邪西毒 東邪西毒,1994,王家卫,"张国荣,林青霞,梁朝伟,张学友,张曼玉,刘嘉玲,梁家辉,杨采妮,邹兆龙","剧情,动作,爱情,武侠,古装","中国香港,中国台湾","粤语,汉语普通话",8.6,415700,47.4%,38.6%,12.3%,1.3%,0.4%,59938,在恋人（张曼玉）负气嫁给兄长的当晚，欧阳锋（张国荣）黯然离开白陀山，走进沙漠某个小镇，成为一名杀手中介人。他的朋友、风流剑客黄药师（梁家辉）每年都来小镇与他畅饮，酒话里有关白陀山的消息令他忘却往事的念想渐次演变成自欺行为。
贫民窟的百万富翁 Slumdog Millionaire,2008,丹尼·博伊尔,"戴夫·帕特尔,沙鲁巴·舒克拉,亚尼·卡普,拉詹德拉纳斯·祖特施,吉尼瓦·塔瓦尔,芙蕾达·平托,伊尔凡·可汗,爱资哈尔丁·穆罕默德·伊斯梅尔,阿什·马赫什·舍德卡,马赫什·曼杰瑞卡,麦活·米泰尔","剧情,爱情","英国,美国","英语,印地语,法语",8.6,548042,42.5%,44.8%,11.9%,0.7%,0.2%,65788,2006年，印度孟买。
魔女宅急便 魔女の宅急便,1989,宫崎骏,"高山南,佐久间玲,户田惠子,山口胜平,信泽三惠子,加藤治子,关弘子,三浦浩一,山寺宏一,井上喜久子,渊崎由里子,土井美加,土师孝也,浅井淑子,齐藤昌,西村知道,小林优子,池水通洋,辻亲八,大塚明夫,坂本千夏,田口昂,键本景子,津贺有子,龟井芳子,丸山裕子","动画,奇幻,冒险",日本,日语,8.6,319571,43.2%,44.8%,11.5%,0.4%,0.1%,39603,琪琪今年13岁了，按照魔法界的规矩，魔法少女年满13岁就要出外进行为期一年的修行。所以琪琪带着宠物黑猫吉吉踏上了修行之旅。然而，修行之旅开始得并不顺利，当琪琪来到海边一座大城市时，人们并没有欢迎她的到来，人人都不搭理她。幸亏琪琪有一颗善良的心，当她拾到了一件别人的失物时，热心的琪琪找到了失主。她的善良赢得了面包店老板娘的好感，琪琪就在面包店开始了她用飞行魔法为客人服务的快递业务。琪琪很快适应了新环境，一次，一个热衷于飞机制造的男孩邀请琪琪去参加飞行俱乐部的聚会，途中琪琪因为帮一位老大娘送东西而被雨淋了。从此，琪琪突然发现自己的魔法正在一天天变弱。
致命魔术 The Prestige,2006,克里斯托弗·诺兰,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩,丽贝卡·豪尔,斯嘉丽·约翰逊,大卫·鲍伊,安迪·瑟金斯,派珀·佩拉博,萨曼塔·马霍林,丹尼尔·戴维斯,吉姆·皮多克,克里斯托弗·尼姆,马克·瑞安,罗杰·里斯,杰米·哈里斯,罗恩·帕金斯,瑞奇·杰,安东尼·德·马克,冀朝理","剧情,悬疑,惊悚","美国,英国",英语,8.9,577585,52.9%,38.0%,8.3%,0.6%,0.2%,103302,19世纪末，人们对科学文明还不是认识得太过清楚，于是，安吉尔（休•杰克曼Hugh Jackman饰）和伯登（克里斯蒂安•贝尔Christian Bale饰）的魔术，成为了伦敦城内的神奇人物。安吉尔出身贵族，魔术手段华丽丰富，是富人圈子里的表演常客。而伯登即使出身平平，争强好胜的心智和充满创造力的魔术技巧，却也令他有了名气。两人自小本是要好的伙伴，然而，现在魔术界二人各有领地，并且都有野心想成为音乐大厅里的顶级魔术师，一番明争暗斗如箭在弦上。
音乐之声 The Sound of Music,1965,罗伯特·怀斯,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克,理查德·海顿,佩吉·伍德,查尔敏·卡尔,希瑟·孟席斯-尤里克,尼古拉斯·哈蒙德,杜安·蔡斯,安吉拉·卡特怀特,黛比·特纳,基姆·卡拉思,安娜·李,波希娅·纳尔逊,本·怀特,丹尼尔·特鲁希特,诺玛·威登,吉尔克里斯特·斯图尔特,马妮·尼克松,埃瓦德妮·贝克,多丽丝·劳埃德,格特鲁德·阿斯特,弗兰克·贝克,Steve Carruthers,山姆·哈里斯,Dorothy Jeakins,Leoda Richards,杰弗里·塞尔,Bernard Sell,Norman Stevans,伯特史蒂文斯,Maria von Trapp","剧情,爱情,歌舞,传记",美国,"英语,德语",9.0,402774,58.8%,33.8%,7.1%,0.3%,0.1%,47284,玛利亚（朱丽·安德鲁斯  饰）是一个年轻活泼的修女，喜欢在大自然下高声歌唱，所以她常常忘记了修道院里的规矩。院长认为玛利亚并不属于规矩严格的修道院。院长与众嬷嬷商量后，决定安排玛利亚到一位名叫特拉普（克里斯托弗·普卢默 饰）上校家当家庭教师。
断背山 Brokeback Mountain,2005,李安,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯,安妮·海瑟薇,凯特·玛拉,兰迪·奎德,琳达·卡德里尼,安娜·法瑞丝,格拉汉姆·贝克尔,斯科特·迈克尔·坎贝尔,大卫·哈伯,罗伯塔·马克斯韦尔,皮特·麦克罗比,夏恩·希尔,布鲁克琳·普劳克斯,杰克·丘奇","剧情,爱情,同性,家庭","美国,加拿大",英语,8.8,513009,51.9%,36.6%,10.6%,0.7%,0.2%,91264,美国怀俄明州的西部，沉默寡言的农夫恩尼斯（希斯•莱杰饰）和热情开朗的牛仔杰克（杰克•吉伦希尔饰)一道被派到山上牧羊，那里人迹罕至，他们只有与羊群为伴，生活单调无味。一个天寒地冻的夜晚，在酒精与荷尔蒙的作用下，他们做了"不该做的事情"，也就此他们在断背山上度过了人生中最美好的时光。
幽灵公主 もののけ姫,1997,宫崎骏,"松田洋治,石田百合子,田中裕子,小林薰,西村雅彦,上条恒彦,岛本须美,渡边哲,佐藤允,名古屋章,美轮明宏,森光子,森繁久弥","动画,奇幻,冒险",日本,日语,8.9,376729,54.0%,36.5%,8.9%,0.5%,0.1%,48256,为了拯救危难中的村民，阿斯达卡的右手中了凶煞神的诅咒。达卡只好离开亲人往西方流浪以寻找解除诅咒的方法。旅途中他遇到了由幻姬大人带领的穷苦村民在麒麟兽的森林里开采铁矿，提炼矿石。 白狼神莫娜和她养大的人类女孩"幽灵公主"桑对幻姬恨之入骨，因为她们觉得幻姬带领众人破坏了森林。想帮助人类的阿斯达卡被桑深深吸引，他理解她，但为了帮助穷人又不得不和她作战。一次战斗中，阿斯达卡被麒麟兽所救，他的立场更加摇摆不定。 这时，以疙瘩和尚为首的一群人来杀麒麟兽，幻姬以火枪击毙了麒麟，麒麟的头被疙瘩和尚抢走。愤怒的麒麟的灵魂为夺回自己的头，大肆破坏着森林。阿斯达卡和桑联手决定帮麒麟夺回头颅。
地久天长,2019,王小帅,"王景春,咏梅,齐溪,王源,杜江,艾丽娅,徐程,李菁菁,赵燕国彰","剧情,家庭",中国大陆,汉语普通话,8.0,239118,29.1%,47.2%,20.3%,2.8%,0.7%,80547,影片讲述患难与共的两个家庭因为一场有隐情的意外被迫疏远，他们在时代洪流下历尽伤痛与不安，人生起伏跌宕，最终选择面对真相，坦荡向前的故事。
速度与激情7 Furious 7,2015,温子仁,"范·迪塞尔,保罗·沃克,杰森·斯坦森,米歇尔·罗德里格兹,乔丹娜·布鲁斯特,泰瑞斯·吉布森,卢达克里斯,道恩·强森,卢卡斯·布莱克,库尔特·拉塞尔,娜塔莉·伊曼纽尔,埃尔莎·帕塔奇,盖尔·加朵,约翰·布罗特顿,卢克·伊万斯,托尼·贾,杰曼·翰苏,诺尔·古格雷米,阿里·法扎勒,姜成镐,龙达·鲁西,伊吉·阿德利亚,乔恩·李·布罗迪","动作,犯罪","美国,中国大陆,日本",英语,8.3,378448,38.9%,41.9%,16.6%,1.9%,0.6%,86563,经历了紧张刺激的伦敦大战，多米尼克·托雷托（范·迪塞尔 Vin Diesel 饰）和他的伙伴们重新回归平静的生活，但是江湖的恩恩怨怨却决不允许他们轻易抽身而去。棘手的死对头欧文·肖瘫在医院，不得动弹，他的哥哥戴克·肖（杰森·斯坦森 Jason Stantham 饰）则发誓要为弟弟复仇。戴克曾是美国特种部队的王牌杀手，不仅身怀绝技，而且心狠手辣。他干掉了远在东京的韩，还几乎把探长卢克·霍布斯（道恩·强森 Dwayne Johnson 饰）送到另一个世界，甚至多米尼克那世外桃源般的家也被对方炸毁。
射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993,刘镇伟,"梁朝伟,林青霞,张国荣,叶玉卿,张学友,王祖贤,张曼玉,梁家辉,刘嘉玲,钟镇涛,鲍起静","喜剧,奇幻,武侠,古装",中国香港,粤语,8.7,445545,53.2%,33.1%,11.6%,1.6%,0.6%,66703,金轮国王妃（叶玉卿 饰）与表哥欧阳锋（梁朝伟 饰）有染，为霸占江山，他们毒死了国王，但没找到传国玉玺。得知玉玺在前往九宫山找寻其师父求助的三公主（林青霞 饰）手里后，欧阳锋企图抢到手但没成功。糊涂国师（张曼玉 饰）在淫威下屈服，查出三公主的具体下落，欧阳锋乘火箭金靴追赶 ，却误脱落一只插死刚出关的王重阳（钟镇涛 饰），奄奄一息的王重阳恳求适逢路过的三公主找到其师弟周伯通（刘嘉玲 饰）代为报仇。逃到九宫山的三公主邀得师弟黄药师（张国荣 饰）与师妹（王祖贤 饰）相助，再加上前来寻找表妹的洪七（张学友 饰）、找到真心人才能成仙的段智兴（梁家辉 饰），一场与欧阳锋的生死恶战蓄势待发……
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,2008,马克·赫尔曼,"阿萨·巴特菲尔德,维拉·法米加,卡拉·霍根,祖萨·霍尔,安贝尔·比蒂,拉斯洛·阿隆,大卫·休里斯,理查德·约翰逊,谢拉·汉考克,伊凡·弗雷贝利,贝拉·费斯彼姆,阿提拉·埃杰德,鲁伯特·弗兰德,大卫·海曼,吉姆·诺顿,杰克·塞隆,米哈利·绍鲍多什,泽索特·萨法尔·科夫卡,奥索利亚·茱莉娅·帕普","剧情,战争","英国,美国","英语,西班牙语",9.1,328399,60.4%,34.2%,5.0%,0.3%,0.1%,68981,八岁男孩布鲁诺（Asa Butterfield 饰）一家随着纳粹军官父亲的一纸调令，由柏林搬迁到了乡下。失去了朋友们的布鲁诺很快对新家附近的"农庄"产生了兴趣，那里有一群身穿"条纹睡衣"的人终日忙碌，并且其中一个为布鲁诺一家服务，他形容肮脏，态度慎微。周遭环境和布鲁诺的举止让母亲暗暗担忧，但纳粹父亲制止家中任何怀疑既定政策的行为。
无敌破坏王2：大闹互联网 Ralph Breaks the Internet,2018,菲尔·约翰斯顿,"约翰·C·赖利,萨拉·西尔弗曼,盖尔·加朵,塔拉吉·P·汉森,杰克·麦克布瑞尔,简·林奇,艾伦·图代克,阿尔弗雷德·莫里纳,艾德·奥尼尔,肖恩·吉布朗尼,弗卢拉·博格,蒂莫西·西蒙斯,黄阿丽,韩秘书·布雷克,葛洛泽尔·格林,瑞贝卡·薇索基,山姆·理查森,雅布其·杨-怀特,莫里斯·拉马奇,梅丽莎·维拉斯诺,凯蒂·洛斯,贾米·埃曼,霍拉提奥·桑斯,亚历克斯·莫法特,琼·斯奎布,德拉·萨巴,菲尔·约翰斯顿,约翰·迪·马吉欧,瑞奇·摩尔,科琳·巴林杰,达尼·费尔南德斯,蒂芙妮·赫雷拉,阿娜·奥缇兹,迪安娜·阿格隆,杰森·曼楚克斯,雷蒙德·S·佩尔西,伏霞,罗杰·克莱格·史密斯,蒂姆·艾伦,布拉德·加内特,安东尼·丹尼尔斯,科里·伯顿,范·迪塞尔,维韦卡·波林,迈克·吉亚奇诺,凯文·迪特斯,尼可·斯彻金格,丹·雷诺斯,艾琳·贝达,克里斯汀·贝尔,裘蒂·班森,奥丽伊·卡瓦洛,詹妮弗·黑尔,凯特·希金斯,琳达·拉金,凯莉·麦克唐纳,伊迪娜·门泽尔,曼迪·摩尔,佩吉·奥哈拉,帕米拉·里本,阿尼卡·诺尼·罗斯,温明娜,珍妮卡·贝尔格雷,比尔·哈德尔","喜剧,动画,奇幻,冒险",美国,英语,8.1,287862,30.1%,45.2%,22.3%,2.1%,0.3%,80700,这一次，破坏王拉尔夫（约翰·C·赖利 John C. Reilly 配音）和云妮洛普（萨拉·丝沃曼 Sarah Silverman 配音）又闯祸了，导致了云妮洛普所在的游戏《甜蜜冲刺》的游戏机方向盘遭到了损坏。这是一台非常古老的街机，在整个互联网中，只有一只备用方向盘正在销售，然而它的售价实在是非常昂贵，老板决定放弃这台机器，将它解体变卖。这也就意味着，《甜蜜冲刺》里的角色们将永远失去他们的家园。
